Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,10,28,13,18,31.3077985047,983.5664672852,45.6372849395,107.4333648682,1.3876889944,727,
2011,10,28,14,18,31.0139119434,982.6936645508,47.3537348665,88.7275314331,1.2781000137,614,
2011,10,28,15,18,30.1067340919,982.5728759766,49.9787938314,68.9037399292,1.5052495003,440,
2011,10,28,16,18,28.5922502414,982.703125,55.9617215074,55.9956130981,2.0498080254,235,
2011,10,28,17,18,26.3084086264,982.9915161133,61.6690892026,54.344959259,2.6159608364,27,
2011,10,28,18,17,25.2238551179,983.6971435547,62.1768026433,57.8257484436,3.0957129002,0,
2011,10,28,19,16,24.4571634439,984.1229248047,61.4178787311,62.9296875,3.2969076633,0,
2011,10,28,20,15,23.6927681455,984.807800293,61.286884045,70.875213623,3.3768486977,0,
2011,10,28,21,15,22.9175684567,985.2126464844,62.1586479147,80.16847229,3.429885149,0,
2011,10,28,22,15,22.1574583814,985.2182006836,64.1642636486,89.6902999878,3.4393954277,0,
2011,10,28,23,14,21.4632471091,984.8553466797,66.5982131614,98.8916778564,3.4377603531,0,
2011,10,29,0,15,20.9448357978,984.8638916016,69.8673286307,106.497177124,3.3988230228,0,
2011,10,29,1,15,20.3958987681,984.4021606445,72.1811091616,111.8840103149,3.3000297546,0,
2011,10,29,2,15,19.8811250822,984.259765625,74.3417141426,117.4341888428,3.1074492931,0,
2011,10,29,3,15,19.6270822964,984.1429443359,75.3218241865,121.6547088623,2.9190909863,0,
2011,10,29,4,15,19.6767964845,984.450378418,74.6849195959,123.0529022217,2.7396543026,0,
2011,10,29,5,15,19.708160286,984.7233276367,74.3484183063,122.8554992676,2.594632864,0,
2011,10,29,6,15,19.7515985548,985.3793334961,74.4100484859,122.4530944824,2.5229268074,0,
2011,10,29,7,15,20.6845835577,986.0491943359,72.5945395322,122.4998016357,2.4577326775,89,
2011,10,29,8,15,22.5467725836,986.4405517578,66.4148071898,118.9162979126,2.2598764896,297,
2011,10,29,9,18,25.5569449272,986.3873291016,63.8697789994,114.4981460571,2.0464205742,489,
2011,10,29,10,17,28.8213569148,985.8298950195,51.9563112734,113.7647094727,2.2897207737,642,
2011,10,29,11,16,30.6253730139,984.8046875,43.5005096615,111.9243164063,2.4646372795,734,
2011,10,29,12,16,31.5158877514,983.9852905273,41.5335559891,106.6004333496,2.3270077705,758,
